Temperature,Humidity,Storage_Days,Spoilage_Label,Grain_Type,Airflow,Dew_Point,Ambient_Light,Pest_Presence,Grain_Moisture,Rainfall
27.34027961,82.26244591,28,Spoiled,1,1.225340363,15.95679824,54.06599785,0,16.21453733,1.317367228
25.30876741,58.84837767,29,Safe,1,0.590728748,10.80186757,130.331371,0,18.3975349,0.534956306
28.18508666,51.57707245,16,Spoiled,1,0.617403879,18.28652906,183.1136803,0,14.66963366,1.284761498
31.47917528,86.6195319,15,Spoiled,1,0.111709155,18.75133619,194.3087748,1,18.36435514,2.157540599
29.3684371,51.35783914,24,Spoiled,1,0.404734359,19.7094025,126.3438561,1,15.81717101,1.149591854
36.77763942,68.96856867,22,Spoiled,1,0.867786828,15.80645226,92.38254013,1,15.85780184,1.77211996
25.69675619,83.15661897,19,Spoiled,1,1.194743968,18.09675036,58.24494603,0,13.72215237,2.258194978
25.97577389,59.20035349,15,Safe,1,0.825211293,19.82521272,73.1781245,0,13.70829982,1.679730767
39.4844805,53.07812807,28,Spoiled,1,1.039620463,18.14386779,126.5690197,1,15.24000879,0.475282684
37.12596022,77.85155104,19,Spoiled,1,0.968663299,12.80334753,88.81886125,1,19.45235526,1.002345239
32.42765365,81.62892659,28,Spoiled,1,1.371519884,15.9946114,100.2317435,0,14.9331016,3.028496202
28.88169972,85.43910993,9,Spoiled,1,1.015785832,12.16332778,50.9275734,0,19.74417738,4.345495344
29.67566614,59.31837899,22,Spoiled,1,0.910329456,10.48362711,192.2554329,0,13.33560143,2.197538902
33.20065419,84.80395496,7,Risky,1,0.319067402,18.26340811,74.2171529,1,12.68326786,2.323447342
27.77281683,50.85077643,27,Safe,1,0.763489708,15.88000463,194.1119454,1,19.27554931,4.103679204
27.93974294,66.07723654,16,Spoiled,1,1.370973919,14.14141068,93.12667991,0,19.26728086,3.95129952
25.67840933,69.19502481,29,Spoiled,1,0.809883505,19.5794586,130.7330153,1,18.25032518,1.478764173
29.87995496,75.10021853,13,Spoiled,1,0.363088533,15.41113825,129.9985322,1,12.15520996,2.478269604
30.3512999,66.71067129,8,Risky,1,1.250563325,15.71607649,177.997578,0,19.27669356,0.681855525
29.21401765,66.85428009,14,Risky,1,1.023315076,11.84838398,124.7499542,0,17.07111569,0.983442791
37.03295471,54.41896453,26,Spoiled,1,1.069302491,17.63692269,131.5680606,1,19.66213327,0.046004488
26.11825966,64.18488631,27,Safe,1,0.469686779,15.23401371,154.24552,0,12.62169935,3.136292003
39.80330405,61.48955967,5,Spoiled,1,1.414695871,12.26772625,127.2750543,0,16.25888188,1.581877037
27.98073522,59.34431004,28,Safe,1,0.55431652,10.80105727,141.7012484,0,15.14271261,0.968585254
25.08283176,51.68372759,6,Safe,1,0.477316607,14.41833705,105.6460569,0,13.43720974,1.729142852
26.11066978,77.18589131,21,Spoiled,1,0.470489038,10.51150206,114.7710643,0,16.96001067,4.700899174
26.73803589,87.99844736,6,Spoiled,1,1.24091562,15.11707447,122.6259548,1,18.84740152,2.67760958
25.95337525,85.1647323,6,Spoiled,1,0.223738926,11.45326692,171.4968116,0,18.15011345,3.236111417
29.66473483,87.78928089,5,Spoiled,1,1.07852836,15.05696744,85.74345058,1,14.12470079,0.223841943
29.87774983,68.69606045,14,Risky,1,0.615686099,10.62041417,83.65744697,1,18.13786715,0.270238137
26.79391369,87.70927097,20,Spoiled,1,1.330860082,15.57873676,126.6640732,1,19.4538514,4.113239636
36.41177573,74.3094718,6,Risky,1,0.880272037,10.48694848,195.0452772,0,14.86575233,1.970418243
36.5645077,59.22679247,6,Spoiled,1,1.033586348,10.44065862,179.5147367,0,16.07988063,2.000776364
31.41311528,57.45753049,23,Spoiled,1,1.343365465,16.45572181,180.196944,0,19.44004302,4.008212949
26.6183714,64.00501037,26,Safe,1,1.361345254,19.4597089,157.7021267,1,15.93390354,2.453067879
34.54615617,88.76410521,28,Spoiled,1,1.25558193,12.96612482,63.86742756,0,18.45366246,3.530290573
36.33326708,80.32953903,23,Spoiled,1,1.498449657,12.45847442,193.720718,1,12.30227605,1.345598763
29.34627179,82.633325,25,Spoiled,1,1.229331074,16.84314249,184.3333611,0,12.41877743,4.960460935
26.65077887,82.38064299,18,Spoiled,1,0.424825452,13.35371606,123.6529644,0,16.92278273,0.568809794
32.66120954,60.39015135,28,Spoiled,1,1.271967479,13.15363743,116.7069165,0,16.92442099,4.70198517
31.26116505,78.93680455,7,Spoiled,1,0.96733668,13.93147129,136.4817485,1,12.31646005,1.303331913
39.14364556,77.33035055,14,Spoiled,1,0.921711109,17.97514045,157.397704,0,17.10511922,0.844168033
29.84804398,53.04523438,24,Spoiled,1,0.913330532,16.77545805,141.0986625,1,14.56450579,4.109007296
39.57673124,73.69631139,24,Spoiled,1,1.0903558,10.72734948,139.4213974,1,19.58098927,1.312543021
32.45872759,77.1206461,22,Spoiled,1,0.935592628,17.82425812,176.2433011,0,18.13043257,2.926304378
34.14346501,81.89704086,23,Spoiled,1,0.838748453,18.3062276,82.63819099,0,18.93721721,3.205030287
25.77218127,84.02326916,28,Spoiled,1,1.493883553,13.9933258,192.9960751,1,12.37571538,0.81960131
38.62398829,78.33451907,14,Spoiled,1,1.009312502,19.78220669,79.86401299,1,18.1063593,0.70434302
27.17342308,77.89885847,28,Spoiled,1,1.101140226,17.99157971,143.0352273,0,13.82936601,3.644352547
29.81170097,83.28536712,14,Spoiled,1,0.318689196,15.19611676,86.24883812,1,15.19775641,1.574666137
27.79777766,70.29870935,24,Spoiled,1,0.990316458,19.96526309,60.20559711,1,19.62962901,0.64489454
32.68139587,75.27254108,20,Spoiled,1,1.034864828,11.58736763,178.7484408,1,14.89745282,0.163999371
28.39743663,60.39214324,7,Risky,1,1.272313912,19.49273106,176.7296128,0,17.28375777,2.101676946
34.67759186,75.36022812,17,Spoiled,1,0.3376198,18.79601497,103.9513342,0,15.76653135,4.475500145
35.36406607,81.19381581,22,Spoiled,1,1.190743621,19.91532776,96.92512963,0,16.81349287,3.185237768
30.11599527,88.51968015,5,Spoiled,1,1.223935309,14.8380254,111.3773881,1,15.48837579,0.768746561
38.87040427,75.30487573,27,Spoiled,1,0.85030911,13.57811249,154.0066308,0,18.62339964,3.787345254
38.1600903,87.28112422,12,Spoiled,1,0.783893886,15.93780632,164.9368209,1,18.16994459,3.658526364
34.89976069,87.48913949,20,Spoiled,1,0.31516746,11.61457834,171.7440522,0,13.55303016,1.001699105
32.94475868,62.03854268,8,Risky,1,1.389830517,15.70286939,159.0527791,1,18.6796542,1.098613751
26.39654152,52.69402406,18,Safe,1,0.929976253,17.42271392,198.1052708,1,14.42566555,3.910009128
38.50627086,63.83532228,23,Spoiled,1,0.172785093,13.54831856,149.347687,0,15.76564758,2.266308863
34.49652186,74.83662071,13,Risky,1,0.144441272,17.80212649,141.4522862,1,13.25897267,3.960949691
30.08544687,51.82968135,16,Spoiled,1,0.692669202,15.63892921,187.2647682,0,12.24854504,4.193108981
30.23814362,84.86147225,15,Spoiled,1,0.218391529,12.61162433,73.45432125,0,19.5752232,3.273878756
35.88933518,88.93955877,18,Spoiled,1,0.949585738,16.94953119,162.7697245,1,13.92570069,1.142129262
38.4566539,88.75511421,27,Spoiled,1,1.333362208,15.67390944,135.2402924,0,13.91959123,1.370058902
38.30629636,79.98607327,20,Spoiled,1,1.336080743,17.96243609,91.19988047,1,12.66703243,1.574205777
36.69813319,55.20344961,5,Spoiled,1,1.022663574,17.35025186,121.1652371,1,19.42806202,0.584020539
34.63047469,80.33052784,17,Spoiled,1,0.395724564,16.10107922,100.0664896,1,16.63789692,1.365798102
38.47831283,62.94440877,25,Spoiled,1,0.375315019,12.61333018,135.3957477,0,14.76496135,4.542187739
25.13795577,80.81629671,6,Spoiled,1,0.501127368,15.99299287,127.8121771,1,12.31039564,3.60133962
26.52207314,77.33181506,8,Spoiled,1,1.223696437,15.13707855,57.67482597,0,13.49418023,3.436415022
35.68268832,77.74728903,29,Spoiled,1,0.187351696,19.41474238,119.5978126,0,13.66585447,0.198556038
36.19737108,77.21997208,9,Spoiled,1,1.465480387,10.91421992,180.1553147,1,14.23739085,3.183464572
33.52462905,56.04231567,10,Risky,1,0.219144881,15.21377021,171.1935992,1,13.93079763,2.366065934
26.40512152,67.29339204,22,Spoiled,1,0.63983663,18.96574658,165.1646927,1,12.62828994,3.08863462
30.89646587,60.96860809,15,Risky,1,0.475987034,18.90658455,146.9611063,0,19.67673718,4.006760291
32.5395564,59.19818424,16,Spoiled,1,1.462307517,17.49859931,145.8444533,0,12.32055269,4.131086879
33.65355827,58.52418816,13,Risky,1,1.16300951,19.13041467,62.21708193,1,19.87457583,1.138162679
32.38776541,51.24536332,25,Spoiled,1,1.454866051,15.72122964,115.2521892,1,15.06784898,2.622181729
27.92864482,76.06667302,28,Spoiled,1,0.715636681,11.80785151,93.89826465,1,13.21782571,4.03048374
35.83678173,64.74105375,6,Spoiled,1,0.489715874,12.68797615,131.8141925,0,17.33367084,1.767387376
39.10687877,84.74492672,25,Spoiled,1,0.28155057,15.87991629,65.6469631,1,18.68894892,0.494843117
38.92477844,75.04881287,24,Spoiled,1,0.394709716,11.7182946,66.00677287,0,18.2717748,4.898671674
31.42276222,55.24979511,6,Risky,1,1.232633096,15.18077498,147.433401,1,15.15845826,1.341380102
37.79514183,74.66601258,19,Spoiled,1,1.310522491,14.00312836,143.9082063,1,19.4611848,2.254932513
29.41673338,81.86149164,22,Spoiled,1,0.316895436,18.11866124,61.2918075,1,15.06447045,0.50376422
37.76705007,54.69232756,29,Spoiled,1,0.778353193,16.4937882,57.39634807,0,12.16272866,0.155874546
33.55091755,52.56835748,16,Spoiled,1,0.807712265,18.86171294,141.556409,1,15.87037517,3.465846801
26.45764741,73.27885608,15,Risky,1,0.3017103,14.58518562,175.2460679,0,15.92359277,4.006857677
39.85080775,81.90236403,7,Spoiled,1,0.483096585,16.63027204,66.87546958,0,18.42124995,1.681563638
38.16059608,50.4648216,20,Spoiled,1,0.74341768,19.96949417,145.866177,1,19.28659376,2.759143668
35.45523611,65.69974226,6,Spoiled,1,1.251333696,12.87221209,199.6508395,1,16.16184391,1.28559252
37.14041733,77.79927545,19,Spoiled,1,1.115008507,18.97385717,53.6966607,1,16.80765756,0.074280613
37.15170092,84.40489589,11,Spoiled,1,0.904002605,12.56191514,154.5033482,0,12.27438321,2.405628459
32.67013598,69.22027789,24,Spoiled,1,1.307084163,18.59111758,196.1658966,1,13.46338341,2.853322895
30.63374429,72.38594734,19,Spoiled,1,0.785149552,12.09690277,197.3723871,0,17.0992369,2.925973927
33.67420211,63.05845233,19,Spoiled,1,0.789596699,16.45602577,115.8695991,0,17.90636408,2.43028771
33.13966952,64.02507725,29,Spoiled,1,0.605965291,17.81890913,173.9585467,0,15.46213665,1.069006053
36.5499033,56.69930329,11,Spoiled,1,0.345688278,12.06817893,128.7977397,0,19.38578998,2.216601604
33.10952682,52.07885135,23,Spoiled,1,0.873727175,12.32224691,152.3767595,0,12.34928743,0.955259344
34.56144852,71.65185341,5,Risky,1,0.621042557,14.05325361,149.3348237,1,13.89306505,2.203774717
39.63778119,84.83876495,27,Spoiled,1,0.297712961,11.98631614,90.22148444,0,12.0733244,4.081139259
31.58457131,53.20459386,18,Spoiled,1,0.355972892,18.96995289,139.6523503,1,12.53592876,3.021903595
25.38026115,71.90369505,25,Spoiled,1,0.499990595,11.82813389,183.6248222,0,13.95796064,2.474142283
37.53970181,68.09273138,7,Spoiled,1,1.457897135,13.7667644,118.8955532,0,15.32730923,3.852058935
35.43961309,75.74310781,23,Spoiled,1,0.899764658,13.39240661,61.54537745,1,17.76266695,2.49809206
27.34655564,53.26519928,21,Safe,1,1.216825169,11.09013616,86.69825819,1,13.53021897,3.316813055
39.32297921,89.03461023,27,Spoiled,1,0.345172396,18.58698121,78.8739726,0,16.57518018,2.649169445
34.17581119,81.58794029,29,Spoiled,1,0.405490548,11.46695114,173.0761256,1,16.27228891,0.589693374
31.29400094,76.34831102,23,Spoiled,1,1.323700483,16.90322847,164.0052353,1,19.03570155,3.274705523
35.55486789,77.2091297,11,Spoiled,1,0.741653032,18.02396031,77.98851453,0,17.37043539,4.854523557
34.23775147,67.01973338,18,Spoiled,1,0.433405315,19.45749702,135.9155415,1,19.56621198,0.601354816
30.61918922,89.50598255,25,Spoiled,1,0.752819178,11.31686903,102.4421598,1,14.11853057,1.869693568
32.54704388,84.68125984,12,Risky,1,0.316289086,17.4197773,91.13193337,0,17.75967631,0.111014065
34.88040447,67.54461677,13,Risky,1,0.7019793,12.52314736,160.2842777,1,13.75247338,4.605347431
39.10345362,61.07311189,15,Spoiled,1,0.338991709,18.4909802,102.872157,1,19.12176536,4.715103548
33.63211267,73.69401314,25,Spoiled,1,0.142649161,13.83397141,68.91652125,0,14.16278872,3.975364406
31.87379336,74.91866334,18,Spoiled,1,0.81481306,15.48909632,178.790016,0,15.69445185,1.924793613
26.41664441,84.17540373,28,Spoiled,1,0.324951419,18.38853862,175.1687379,1,15.66602652,3.427693103
26.06782973,59.88924298,20,Safe,1,0.728654275,16.97024166,162.1280955,0,13.93411606,0.973969013
37.67312966,67.8122102,20,Spoiled,1,0.169460123,18.79279556,92.92025637,0,19.09465232,4.012803741
37.05221396,63.00760257,20,Spoiled,1,1.151077509,12.70559256,85.30748928,0,13.86899811,0.03394087
27.66159316,55.23494643,9,Safe,1,1.181879988,19.42058219,187.2252425,1,18.24067219,0.344950044
30.58027129,56.7903162,13,Risky,1,0.642251525,10.10715298,186.7677669,1,15.03939433,4.680627858
36.64619441,70.79095794,13,Risky,1,0.192631264,15.44257337,71.99218357,0,16.01548465,2.600801115
37.87619128,67.23550095,21,Spoiled,1,0.834629893,13.57192334,73.5140643,0,15.89124028,1.974951353
36.31814311,78.27108868,5,Spoiled,1,0.583117244,14.40664883,163.2241188,0,18.50186323,1.88898412
29.80074402,76.5521811,12,Spoiled,1,0.47169497,19.82739541,93.83734351,0,19.57845519,0.329460825
30.83802518,83.76681796,26,Spoiled,1,1.049899956,10.73364067,103.1822313,0,13.08413499,2.037026358
34.47755818,71.24678112,26,Spoiled,1,1.448704449,16.48747114,186.0478278,1,18.35730314,0.788305134
31.72668283,87.46422769,12,Spoiled,1,0.114398294,14.18969774,75.31241576,1,15.65053456,0.87005224
29.39816158,51.57374163,25,Spoiled,1,1.102469963,14.58028617,195.249044,0,13.36614608,3.803796542
29.92996818,54.88439656,23,Spoiled,1,1.088744628,12.56647207,117.9325041,0,14.13767916,0.079190355
26.36809155,51.66291436,8,Safe,1,0.210515164,19.95734452,95.56025693,1,17.71761853,1.566838472
25.8633814,89.46520492,11,Spoiled,1,0.465467937,19.20691401,71.58019495,0,19.29803649,3.667009247
38.31556274,88.07247142,16,Spoiled,1,1.409678319,12.04242106,169.3367564,0,13.05252245,0.488093803
26.75600525,84.71673178,7,Spoiled,1,0.621512504,12.19634929,69.54806498,0,19.16068138,1.749477318
36.42265948,70.62384114,16,Spoiled,1,0.186531845,19.15001538,79.5774473,1,18.87459961,1.797715723
37.32790089,78.18723051,5,Spoiled,1,0.725400338,17.24029189,148.3731151,0,12.36855336,3.98473752
35.59363341,58.07413808,12,Spoiled,1,0.802125144,19.28807961,130.5913511,0,16.35102337,2.952130516
